Year,SCL,Species
1987,85.5,Caretta caretta
1987,85.8,Caretta caretta
1987,86,Caretta caretta
1987,86.1,Caretta caretta
1987,86.8,Caretta caretta
1987,87.4,Caretta caretta
1987,88.9,Caretta caretta
1987,89.4,Caretta caretta
1987,89.5,Caretta caretta
1987,89.6,Caretta caretta
1987,89.7,Caretta caretta
1987,90,Caretta caretta
1987,90.2,Caretta caretta
1987,90.2,Caretta caretta
1987,90.3,Caretta caretta
1987,90.4,Caretta caretta
1987,90.4,Caretta caretta
1987,90.8,Caretta caretta
1987,91.1,Caretta caretta
1987,91.1,Caretta caretta
1987,91.2,Caretta caretta
1987,91.2,Caretta caretta
1987,91.3,Caretta caretta
1987,91.4,Caretta caretta
1987,91.9,Caretta caretta
1987,91.9,Caretta caretta
1987,92.1,Caretta caretta
1987,92.5,Caretta caretta
1987,92.5,Caretta caretta
1987,92.7,Caretta caretta
1987,92.9,Caretta caretta
1987,93.1,Caretta caretta
1987,93.1,Caretta caretta
1987,93.3,Caretta caretta
1987,94.1,Caretta caretta
1987,94.5,Caretta caretta
1987,94.5,Caretta caretta
1987,95.4,Caretta caretta
1987,95.5,Caretta caretta
1987,95.5,Caretta caretta
1987,95.8,Caretta caretta
1987,95.8,Caretta caretta
1987,96,Caretta caretta
1987,96,Caretta caretta
1987,96,Caretta caretta
1987,96.1,Caretta caretta
1987,96.2,Caretta caretta
1987,96.4,Caretta caretta
1987,96.4,Caretta caretta
1987,96.4,Caretta caretta
1987,96.5,Caretta caretta
1987,97,Caretta caretta
1987,97.1,Caretta caretta
1987,97.4,Caretta caretta
1987,97.5,Caretta caretta
1987,98.2,Caretta caretta
1987,98.9,Caretta caretta
1987,99.1,Caretta caretta
1987,102.2,Caretta caretta
1987,104.2,Caretta caretta
1987,107,Caretta caretta
1987,109.2,Caretta caretta
1988,80,Caretta caretta
1988,80.8,Caretta caretta
1988,82.1,Caretta caretta
1988,82.1,Caretta caretta
1988,82.2,Caretta caretta
1988,83.8,Caretta caretta
1988,84,Caretta caretta
1988,84.3,Caretta caretta
1988,85,Caretta caretta
1988,85.1,Caretta caretta
1988,85.3,Caretta caretta
1988,85.4,Caretta caretta
1988,85.5,Caretta caretta
1988,85.7,Caretta caretta
1988,85.9,Caretta caretta
1988,86.2,Caretta caretta
1988,86.4,Caretta caretta
1988,86.5,Caretta caretta
1988,86.5,Caretta caretta
1988,86.7,Caretta caretta
1988,86.9,Caretta caretta
1988,87.1,Caretta caretta
1988,87.2,Caretta caretta
1988,87.5,Caretta caretta
1988,87.5,Caretta caretta
1988,87.9,Caretta caretta
1988,88.2,Caretta caretta
1988,88.5,Caretta caretta
1988,88.9,Caretta caretta
1988,88.9,Caretta caretta
1988,89,Caretta caretta
1988,89.1,Caretta caretta
1988,89.5,Caretta caretta
1988,90.1,Caretta caretta
1988,90.1,Caretta caretta
1988,90.1,Caretta caretta
1988,90.2,Caretta caretta
1988,90.2,Caretta caretta
1988,90.5,Caretta caretta
1988,90.6,Caretta caretta
1988,90.6,Caretta caretta
1988,90.8,Caretta caretta
1988,90.8,Caretta caretta
1988,91,Caretta caretta
1988,91,Caretta caretta
1988,91,Caretta caretta
1988,91.7,Caretta caretta
1988,91.8,Caretta caretta
1988,91.8,Caretta caretta
1988,91.9,Caretta caretta
1988,92.1,Caretta caretta
1988,92.2,Caretta caretta
1988,92.2,Caretta caretta
1988,92.4,Caretta caretta
1988,92.4,Caretta caretta
1988,92.7,Caretta caretta
1988,92.8,Caretta caretta
1988,92.9,Caretta caretta
1988,92.9,Caretta caretta
1988,92.9,Caretta caretta
1988,93.4,Caretta caretta
1988,93.5,Caretta caretta
1988,93.5,Caretta caretta
1988,93.8,Caretta caretta
1988,93.8,Caretta caretta
1988,93.9,Caretta caretta
1988,94,Caretta caretta
1988,94.3,Caretta caretta
1988,95.2,Caretta caretta
1988,95.4,Caretta caretta
1988,95.4,Caretta caretta
1988,95.5,Caretta caretta
1988,95.7,Caretta caretta
1988,96.1,Caretta caretta
1988,96.6,Caretta caretta
1988,96.8,Caretta caretta
1988,97,Caretta caretta
1988,97,Caretta caretta
1988,97.2,Caretta caretta
1988,97.5,Caretta caretta
1988,97.7,Caretta caretta
1988,97.8,Caretta caretta
1988,97.9,Caretta caretta
1988,98,Caretta caretta
1988,98.2,Caretta caretta
1988,98.8,Caretta caretta
1988,99,Caretta caretta
1988,99.5,Caretta caretta
1988,100.2,Caretta caretta
1988,100.2,Caretta caretta
1988,100.8,Caretta caretta
1988,101,Caretta caretta
1988,101.2,Caretta caretta
1988,101.3,Caretta caretta
1988,102,Caretta caretta
1988,102.5,Caretta caretta
1988,103.2,Caretta caretta
1988,104.5,Caretta caretta
1988,104.5,Caretta caretta
1989,73.3,Caretta caretta
1989,77.4,Caretta caretta
1989,77.6,Caretta caretta
1989,79,Caretta caretta
1989,81.3,Caretta caretta
1989,82,Caretta caretta
1989,82.1,Caretta caretta
1989,82.2,Caretta caretta
1989,83,Caretta caretta
1989,83.2,Caretta caretta
1989,83.4,Caretta caretta
1989,83.5,Caretta caretta
1989,83.5,Caretta caretta
1989,83.9,Caretta caretta
1989,84.1,Caretta caretta
1989,84.2,Caretta caretta
1989,84.2,Caretta caretta
1989,84.2,Caretta caretta
1989,84.9,Caretta caretta
1989,84.9,Caretta caretta
1989,84.9,Caretta caretta
1989,85,Caretta caretta
1989,85.1,Caretta caretta
1989,85.3,Caretta caretta
1989,85.5,Caretta caretta
1989,85.5,Caretta caretta
1989,85.8,Caretta caretta
1989,85.9,Caretta caretta
1989,85.9,Caretta caretta
1989,85.9,Caretta caretta
1989,86,Caretta caretta
1989,86.2,Caretta caretta
1989,86.2,Caretta caretta
1989,86.5,Caretta caretta
1989,86.6,Caretta caretta
1989,86.8,Caretta caretta
1989,86.9,Caretta caretta
1989,86.9,Caretta caretta
1989,87,Caretta caretta
1989,87.1,Caretta caretta
1989,87.1,Caretta caretta
1989,87.1,Caretta caretta
1989,87.2,Caretta caretta
1989,87.2,Caretta caretta
1989,87.2,Caretta caretta
1989,87.3,Caretta caretta
1989,87.4,Caretta caretta
1989,87.5,Caretta caretta
1989,88,Caretta caretta
1989,88.2,Caretta caretta
1989,88.3,Caretta caretta
1989,88.7,Caretta caretta
1989,89,Caretta caretta
1989,89,Caretta caretta
1989,89,Caretta caretta
1989,89.1,Caretta caretta
1989,89.3,Caretta caretta
1989,89.3,Caretta caretta
1989,89.3,Caretta caretta
1989,89.8,Caretta caretta
1989,89.9,Caretta caretta
